team,name,role,age,batting_style,bowling_style
Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter,22y 155d,Right hand Bat,Right arm Medium
Afghanistan,Hazratullah Zazai,Opening Batter,26y 39d,Left hand Bat,Slow Left arm Orthodox
Afghanistan,Ibrahim Zadran,Opening Batter,22y 141d,Right hand Bat,Right arm Medium fast
Afghanistan,Mohammad Ishaq,Wicketkeeper Batter,19y 90d,Right hand Bat,N/A
Afghanistan,Najibullah Zadran,Middle order Batter,31y 73d,Left hand Bat,Right arm Offbreak
Afghanistan,Rashid Khan,Bowling Allrounder,25y 224d,Right hand Bat,Legbreak Googly
Afghanistan,Azmatullah Omarzai,Allrounder,24y 38d,Right hand Bat,Right arm Medium fast
Afghanistan,Gulbadin Naib,Batting Allrounder,32y 332d,Right hand Bat,Right arm Medium fast
Afghanistan,Karim Janat,Bowling Allrounder,25y 264d,Right hand Bat,Right arm Medium
Afghanistan,Mohammad Nabi,Allrounder,39y 121d,Right hand Bat,Right arm Offbreak
Afghanistan,Nangeyalia Kharote,Allrounder,20y 6d,Left hand Bat,Slow Left arm Orthodox
Afghanistan,Fareed Ahmad,Bowler,29y 265d,Left hand Bat,Left arm Fast medium
Afghanistan,Fazalhaq Farooqi,Bowler,23y 222d,Right hand Bat,Left arm Fast medium
Afghanistan,Naveen-ul-Haq,Bowler,24y 221d,Right hand Bat,Right arm Medium fast
Afghanistan,Noor Ahmad,Bowler,19y 119d,Right hand Bat,Left arm Wrist spin
Afghanistan,Mujeeb Ur Rahman,Bowler,23y 34d,Right hand Bat,Right arm Offbreak
Australia,Tim David,Middle order Batter,28y 46d,Right hand Bat,Right arm Offbreak
Australia,Travis Head,Top order Batter,30y 124d,Left hand Bat,Right arm Offbreak
Australia,Josh Inglis,Wicketkeeper Batter,29y 58d,Right hand Bat,N/A
Australia,Matthew Wade,Wicketkeeper Batter,36y 127d,Left hand Bat,Right arm Medium
Australia,David Warner,Opening Batter,37y 187d,Left hand Bat,Legbreak
Australia,Mitchell Marsh,Allrounder,32y 194d,Right hand Bat,Right arm Medium
Australia,Cameron Green,Batting Allrounder,24y 333d,Right hand Bat,Right arm Fast medium
Australia,Glenn Maxwell,Batting Allrounder,35y 200d,Right hand Bat,Right arm Offbreak
Australia,Marcus Stoinis,Batting Allrounder,34y 259d,Right hand Bat,Right arm Medium
Australia,Ashton Agar,Bowler,30y 200d,Left hand Bat,Slow Left arm Orthodox
Australia,Pat Cummins,Bowler,30y 359d,Right hand Bat,Right arm Fast
Australia,Nathan Ellis,Bowler,29y 222d,Right hand Bat,Right arm Fast medium
Australia,Josh Hazlewood,Bowler,33y 114d,Left hand Bat,Right arm Fast medium
Australia,Mitchell Starc,Bowler,34y 92d,Left hand Bat,Left arm Fast
Australia,Adam Zampa,Bowler,32y 31d,Right hand Bat,Legbreak Googly
Bangladesh,Najmul Hossain Shanto,Top order Batter,25y 263d,Left hand Bat,Right arm Offbreak
Bangladesh,Jaker Ali,Batter,26y 82d,Right hand Bat,N/A
Bangladesh,Litton Das,Wicketkeeper Batter,29y 214d,Right hand Bat,Right arm Offbreak
Bangladesh,Tanzid Hasan,Opening Batter,23y 165d,Left hand Bat,N/A
Bangladesh,Towhid Hridoy,Top order Batter,23y 162d,Right hand Bat,Right arm Offbreak
Bangladesh,Mahedi Hasan,Allrounder,29y 154d,Right hand Bat,Right arm Offbreak
Bangladesh,Mahmudullah,Allrounder,38y 100d,Right hand Bat,Right arm Offbreak
Bangladesh,Shakib Al Hasan,Allrounder,37y 51d,Left hand Bat,Slow Left arm Orthodox
Bangladesh,Soumya Sarkar,Batting Allrounder,31y 79d,Left hand Bat,Right arm Medium fast
Bangladesh,Taskin Ahmed,Bowler,29y 41d,Left hand Bat,Right arm Fast
Bangladesh,Mustafizur Rahman,Bowler,28y 251d,Left hand Bat,Left arm Fast medium
Bangladesh,Rishad Hossain,Bowler,21y 304d,Right hand Bat,Legbreak Googly
Bangladesh,Shoriful Islam,Bowler,22y 346d,Left hand Bat,Left arm Fast medium
Bangladesh,Tanvir Islam,Bowler,27y 202d,Left hand Bat,Slow Left arm Orthodox
Bangladesh,Tanzim Hasan Sakib,Bowler,21y 207d,Right hand Bat,Right arm Fast medium
Canada,Navneet Dhaliwal,Middle order Batter,35y 205d,Right hand Bat,Right arm Medium fast
Canada,Aaron Johnson,Batter,33y 47d,Right hand Bat,Right arm Offbreak
